ensimmaisetnovellit/ensimmaisetnovellit_0000.wav|I. Siihen aikaan, kun isä lampun osti, sanoi hän äidille näinikään: --Äiti hoi, kuulehan,--|I. Siihen aikaan, kun isä lampun osti, sanoi hän äidille näinikään: --Äiti hoi, kuulehan,--|7.43
ensimmaisetnovellit/ensimmaisetnovellit_0011.wav|Tultako vääntää'--Elä--elä, mitenkä sinä tulta väännät! --No, ka--kun ruuvia vääntää oikeaan käteen,|Tultako vääntää'--Elä--elä, mitenkä sinä tulta väännät! --No, ka--kun ruuvia vääntää oikeaan käteen,|8.38
ensimmaisetnovellit/ensimmaisetnovellit_0012.wav|niin sydän nousee--siinä on niinkuin kynttilässäkin sydän, ja tuli nousee myöskin, mutta kun vasempaan käteen, niin se pienenee,|niin sydän nousee--siinä on niinkuin kynttilässäkin sydän, ja tuli nousee myöskin, mutta kun vasempaan käteen, niin se pienenee,|8.54
ensimmaisetnovellit/ensimmaisetnovellit_0013.wav|ja kun sitten puhaisee, niin se sammuu. --Vai sammuu--mutta en minä sitä nyt ymmärrä, vaikka kuinka selittelisit--|ja kun sitten puhaisee, niin se sammuu. --Vai sammuu--mutta en minä sitä nyt ymmärrä, vaikka kuinka selittelisit--|8.46
ensimmaisetnovellit/ensimmaisetnovellit_0014.wav|mitä lienee niitä uusmuotisia herrain laitoksia. --Kyllä sitten ymmärrät, kun saat nähdä, jahka minä sen ostan. --|mitä lienee niitä uusmuotisia herrain laitoksia. --Kyllä sitten ymmärrät, kun saat nähdä, jahka minä sen ostan. --|8.97
ensimmaisetnovellit/ensimmaisetnovellit_0015.wav|Paljonko se maksaa --Seitsemän ja puoli markkaa--öljy erittäin, ja sitä saa markalla kannun! --|Paljonko se maksaa --Seitsemän ja puoli markkaa--öljy erittäin, ja sitä saa markalla kannun! --|7.37
ensimmaisetnovellit/ensimmaisetnovellit_0016.wav|Seitsemän ja puoli markkaa, ja vielä öljy erittäin! Sillähän saa jo pärekupoja moneksi talveksi,|Seitsemän ja puoli markkaa, ja vielä öljy erittäin! Sillähän saa jo pärekupoja moneksi talveksi,|7.21
ensimmaisetnovellit/ensimmaisetnovellit_0017.wav|jos ostaa tahtoo, mutta kun Pekka niitä kiskoo, ei mene penniäkään hukkaan. --|jos ostaa tahtoo, mutta kun Pekka niitä kiskoo, ei mene penniäkään hukkaan. --|6.12
ensimmaisetnovellit/ensimmaisetnovellit_0018.wav|Ei lampussakaan hukkaan mene, ja maksavathan ne metsätkin,|Ei lampussakaan hukkaan mene, ja maksavathan ne metsätkin,|3.95
ensimmaisetnovellit/ensimmaisetnovellit_0019.wav|eikä meidän maalla enää niin joka paikasta pärepuita otetakaan; pitää etsiä ja vedättää korven taustalta asti tänne suohautaan,|eikä meidän maalla enää niin joka paikasta pärepuita otetakaan; pitää etsiä ja vedättää korven taustalta asti tänne suohautaan,|8.45
ensimmaisetnovellit/ensimmaisetnovellit_0020.wav|ja sieltäkin jo kohta ovat lopussa. Äiti kyllä tiesi, etteivät pärepuut vielä kuitenkaan niin yht'äkk taida loppua,|ja sieltäkin jo kohta ovat lopussa. Äiti kyllä tiesi, etteivät pärepuut vielä kuitenkaan niin yht'äkk taida loppua,|8.88
ensimmaisetnovellit/ensimmaisetnovellit_0021.wav|koskapahan siitä tähän asti ei ole mitään kuulunut, mutta että nyt vain piti se syyksi sanoa, kun lamppua teki mieli.|koskapahan siitä tähän asti ei ole mitään kuulunut, mutta että nyt vain piti se syyksi sanoa, kun lamppua teki mieli.|8.03
ensimmaisetnovellit/ensimmaisetnovellit_0022.wav|Mutta ei se äiti siitä asiasta kuitenkaan sen enempää sanonut, sillä isä olisi saattanut suuttua.|Mutta ei se äiti siitä asiasta kuitenkaan sen enempää sanonut, sillä isä olisi saattanut suuttua.|7.32
ensimmaisetnovellit/ensimmaisetnovellit_0023.wav|Ja koko lamppu olisi ehkä sitten saattanut jäädä näkemättä ja ostamatta.|Ja koko lamppu olisi ehkä sitten saattanut jäädä näkemättä ja ostamatta.|5.13
ensimmaisetnovellit/ensimmaisetnovellit_0024.wav|Taikka olisivat johonkuhun muuhun taloon ennen ennättäneet lampun ostaa, ja kohta olisi koko pitäjä puhunut, että se talo oli-- pappilaa lukuun ottamatta--|Taikka olisivat johonkuhun muuhun taloon ennen ennättäneet lampun ostaa, ja kohta olisi koko pitäjä puhunut, että se talo oli-- pappilaa lukuun ottamatta--|10.16
ensimmaisetnovellit/ensimmaisetnovellit_0025.wav|ensimmäinen, jossa alettiin lamppua polttaa. Näin se äiti ajatteli sitä asiaa ja sanoi sitten isälle, että »|ensimmäinen, jossa alettiin lamppua polttaa. Näin se äiti ajatteli sitä asiaa ja sanoi sitten isälle, että|8.74
ensimmaisetnovellit/ensimmaisetnovellit_0026.wav|osta sitten vain, jos mieli tekee, sama kai minulle on, mikä palaa, pärekö vai muu öljy, kunhan vain kehrätä näen.|osta sitten vain, jos mieli tekee, sama kai minulle on, mikä palaa, pärekö vai muu öljy, kunhan vain kehrätä näen.|8.08
ensimmaisetnovellit/ensimmaisetnovellit_0027.wav|Milloinka sinä sen sitten ostaisit?» --Ajattelin, että sopisi ehkä jo huomenna lähteä--|Milloinka sinä sen sitten ostaisit? --Ajattelin, että sopisi ehkä jo huomenna lähteä--|6.38
ensimmaisetnovellit/ensimmaisetnovellit_0028.wav|olisi vähän muutakin asiaa kauppamiehelle.|olisi vähän muutakin asiaa kauppamiehelle.|4.06
ensimmaisetnovellit/ensimmaisetnovellit_0029.wav|Tämä oli keskellä viikkoa, ja äiti kyllä tiesi, että ne muut asiat olisi ennättänyt lauantainakin ajaa, mutta ei hän nytkään virkkanut mitään,|Tämä oli keskellä viikkoa, ja äiti kyllä tiesi, että ne muut asiat olisi ennättänyt lauantainakin ajaa, mutta ei hän nytkään virkkanut mitään,|9.37
ensimmaisetnovellit/ensimmaisetnovellit_0030.wav|ajatteli vain, että kuta pikemmin sitä parempi.|ajatteli vain, että kuta pikemmin sitä parempi.|4.15
ensimmaisetnovellit/ensimmaisetnovellit_0031.wav|Ja jo samana iltana kannatti isä aitasta sen ison matkakirstun, jossa ukkovaari ennen vanhaan Oulussa käydessään eväänsä kuletti, ja käski äidin täyttää sen heinillä|Ja jo samana iltana kannatti isä aitasta sen ison matkakirstun, jossa ukkovaari ennen vanhaan Oulussa käydessään eväänsä kuletti, ja käski äidin täyttää sen heinillä|11.62
ensimmaisetnovellit/ensimmaisetnovellit_0032.wav|sekä panna pumpulia keskelle. Me lapset kysyimme, minkä tähden siihen ei panna muuta kuin heiniä ja sitten pumpulia keskelle, mutta|sekä panna pumpulia keskelle. Me lapset kysyimme, minkä tähden siihen ei panna muuta kuin heiniä ja sitten pumpulia keskelle, mutta|8.68
ensimmaisetnovellit/ensimmaisetnovellit_0033.wav|äiti käski meitä olemaan vaiti. Isä oli paremmalla tuulella ja selitti, että hän tuo kauppamieheltä lampun, joka on lasista|äiti käski meitä olemaan vaiti. Isä oli paremmalla tuulella ja selitti, että hän tuo kauppamieheltä lampun, joka on lasista|9.12
ensimmaisetnovellit/ensimmaisetnovellit_0034.wav|ja saattaisi särkyä, jos sattuisi kaatumaan tai reki muuten tärskähtäisi.|ja saattaisi särkyä, jos sattuisi kaatumaan tai reki muuten tärskähtäisi.|7.69
ensimmaisetnovellit/ensimmaisetnovellit_0035.wav|II. Sinä iltana me lapset pitkän aikaa valvoimme ja ajattelimme sitä uutta lamppua,|II. Sinä iltana me lapset pitkän aikaa valvoimme ja ajattelimme sitä uutta lamppua,|8.1
ensimmaisetnovellit/ensimmaisetnovellit_0036.wav|mutta se vanha istukas-Pekka, joka kaikki päreet kiskoi, alkoi jo heti kohta kuorsata, kun päre oli sammutettu.|mutta se vanha istukas-Pekka, joka kaikki päreet kiskoi, alkoi jo heti kohta kuorsata, kun päre oli sammutettu.|8.83
ensimmaisetnovellit/ensimmaisetnovellit_0037.wav|Eikä hän edes kertaakaan kysynyt, mikä se lamppu oli, vaikka meillä siitä niin paljon puhetta riitti.|Eikä hän edes kertaakaan kysynyt, mikä se lamppu oli, vaikka meillä siitä niin paljon puhetta riitti.|7.39
ensimmaisetnovellit/ensimmaisetnovellit_0038.wav|Isä viipyi matkallaan koko päivän, ja se päivä tuntui meistä kaikista hyvin pitkältä,|Isä viipyi matkallaan koko päivän, ja se päivä tuntui meistä kaikista hyvin pitkältä,|5.53
ensimmaisetnovellit/ensimmaisetnovellit_0039.wav|ettei tahtonut syöntikään käydä, vaikka oli maitovelliä puoliseksi.|ettei tahtonut syöntikään käydä, vaikka oli maitovelliä puoliseksi.|5.02
ensimmaisetnovellit/ensimmaisetnovellit_0040.wav|Istukas-Pekka se vain söi muidenkin edestä ja kiskoi sinä päivänä päreitä orren täyteen.|Istukas-Pekka se vain söi muidenkin edestä ja kiskoi sinä päivänä päreitä orren täyteen.|6.2
ensimmaisetnovellit/ensimmaisetnovellit_0041.wav|Äitikään ei sinä päivänä monta leperettä kehrännyt, kun aina tuli menneeksi ikkunaan katsomaan, eikö isää jo näkyisi jäältä tulevaksi.|Äitikään ei sinä päivänä monta leperettä kehrännyt, kun aina tuli menneeksi ikkunaan katsomaan, eikö isää jo näkyisi jäältä tulevaksi.|9.7
ensimmaisetnovellit/ensimmaisetnovellit_0042.wav|Muutaman kerran hän sanoi Pekalle, ettei niitä päreitä enää taideta tarvitakaan,|Muutaman kerran hän sanoi Pekalle, ettei niitä päreitä enää taideta tarvitakaan,|5.82
ensimmaisetnovellit/ensimmaisetnovellit_0043.wav|mutta Pekka ei sitä puhetta edes senkään vertaa mieleensä pannut, että olisi kysynyt, miksi nyt ei enää muka päreitä tarvittaisi.|mutta Pekka ei sitä puhetta edes senkään vertaa mieleensä pannut, että olisi kysynyt, miksi nyt ei enää muka päreitä tarvittaisi.|9.48
ensimmaisetnovellit/ensimmaisetnovellit_0044.wav|Vasta iltaista syötäessä kuului ruunan kulkunen kartanolta.|Vasta iltaista syötäessä kuului ruunan kulkunen kartanolta.|5.41
ensimmaisetnovellit/ensimmaisetnovellit_0045.wav|Pala suussa me kaikki lapset kapistimme ulos, mutta isä ajoi meidät pirttiin ja käski istukas-Pekan tulla kirstua reestä nostamaan.|Pala suussa me kaikki lapset kapistimme ulos, mutta isä ajoi meidät pirttiin ja käski istukas-Pekan tulla kirstua reestä nostamaan.|9.65
ensimmaisetnovellit/ensimmaisetnovellit_0046.wav|Pekka jo silloin pankon nurkalla torkkui ja oli siinä käynyt niin kömpelöksi, että kolahdutti kirstun jalan kynnykseen,|Pekka jo silloin pankon nurkalla torkkui ja oli siinä käynyt niin kömpelöksi, että kolahdutti kirstun jalan kynnykseen,|7.51
ensimmaisetnovellit/ensimmaisetnovellit_0047.wav|kun sitä isän kanssa pirttiin kantoi. Mutta siitä olisi hän saanut isältä korvilleen, jos olisi ollut nuorempi mies,|kun sitä isän kanssa pirttiin kantoi. Mutta siitä olisi hän saanut isältä korvilleen, jos olisi ollut nuorempi mies,|8.67
ensimmaisetnovellit/ensimmaisetnovellit_0048.wav|mutta hän oli vanha ukko, eikä isä itseään vanhempaa miestä ole eläessään lyönyt.|mutta hän oli vanha ukko, eikä isä itseään vanhempaa miestä ole eläessään lyönyt.|7.2
ensimmaisetnovellit/ensimmaisetnovellit_0049.wav|Paha hänet ehkä sittenkin olisi perinyt, jos lamppu olisi särkynyt, mutta ei sille toki tullut mitään. --Mene uunille, sen tollo!|Paha hänet ehkä sittenkin olisi perinyt, jos lamppu olisi särkynyt, mutta ei sille toki tullut mitään. --Mene uunille, sen tollo!|9.52
ensimmaisetnovellit/ensimmaisetnovellit_0050.wav|ärjäisi isä Pekalle, ja Pekka nousi uunille. Mutta isä oli jo ottanut lampun kirstusta ja riiputti sitä kädessään. --|ärjäisi isä Pekalle, ja Pekka nousi uunille. Mutta isä oli jo ottanut lampun kirstusta ja riiputti sitä kädessään. --|9.47
ensimmaisetnovellit/ensimmaisetnovellit_0051.wav|Kas, tässä tämä nyt on, tämmöinen tämä nyt on--tänne lasin sisään pannaan öljy, ja tuo suikale siellä sisällä on veeku--|Kas, tässä tämä nyt on, tämmöinen tämä nyt on--tänne lasin sisään pannaan öljy, ja tuo suikale siellä sisällä on veeku--|7.95
ensimmaisetnovellit/ensimmaisetnovellit_0052.wav|pysykää ulompana päreinenne siinä! --Eikö sitä panna palamaan? kysyi äiti ja siirtyi päreineen vähän ulommaksi. --|pysykää ulompana päreinenne siinä! --Eikö sitä panna palamaan? kysyi äiti ja siirtyi päreineen vähän ulommaksi. --|8.98
ensimmaisetnovellit/ensimmaisetnovellit_0053.wav|Oletko sinä hupakko--mitenkä se palamaan pannaan, kun ei ole vielä öljyäkään? --No, mutta eikö sitten saata panna öljyä? --|Oletko sinä hupakko--mitenkä se palamaan pannaan, kun ei ole vielä öljyäkään? --No, mutta eikö sitten saata panna öljyä? --|8.65
ensimmaisetnovellit/ensimmaisetnovellit_0054.wav|Vai öljyä panna, e-hei! Niin sen äkkinäinen luulisi, mutta kauppamies varoitti moneen kertaan,|Vai öljyä panna, e-hei! Niin sen äkkinäinen luulisi, mutta kauppamies varoitti moneen kertaan,|7.4
ensimmaisetnovellit/ensimmaisetnovellit_0055.wav|ettei saa tulen valolla öljyä panna, se saattaisi syttyä ja polttaa koko talon. --Milloinkas siihen sitten saa sitä öljyä panna? --|ettei saa tulen valolla öljyä panna, se saattaisi syttyä ja polttaa koko talon. --Milloinkas siihen sitten saa sitä öljyä panna? --|9.18
ensimmaisetnovellit/ensimmaisetnovellit_0056.wav|Päivällä, päivällä, etkö sinä jouda päivää odottamaan--ei se niin kovin kummaa ole! --Oletko sinä sen sitten jo nähnyt palavan! --|Päivällä, päivällä, etkö sinä jouda päivää odottamaan--ei se niin kovin kummaa ole! --Oletko sinä sen sitten jo nähnyt palavan! --|9.44
ensimmaisetnovellit/ensimmaisetnovellit_0057.wav|Minäkö? Jo toki montakin kertaa olen lampun palavan nähnyt--|Minäkö? Jo toki montakin kertaa olen lampun palavan nähnyt--|4.71
ensimmaisetnovellit/ensimmaisetnovellit_0058.wav|olen nähnyt pappilassa, ja tätäkin jo kauppamiehen luona koetettiin. --No, paloiko se? --Paloihan se,|olen nähnyt pappilassa, ja tätäkin jo kauppamiehen luona koetettiin. --No, paloiko se? --Paloihan se,|9.01
ensimmaisetnovellit/ensimmaisetnovellit_0059.wav|ja kun pantiin puodin luukut kiinni, niin olisi nähnyt vaikka nuppineulan lattialta--katsokaa,|ja kun pantiin puodin luukut kiinni, niin olisi nähnyt vaikka nuppineulan lattialta--katsokaa,|6.79
ensimmaisetnovellit/ensimmaisetnovellit_0060.wav|tässä on tämmöinen kuuppa, ja kun tuossa tuli palaa, tämän soikulaisen lasin sisässä, niin valo ei pääse kattoon|tässä on tämmöinen kuuppa, ja kun tuossa tuli palaa, tämän soikulaisen lasin sisässä, niin valo ei pääse kattoon|7.67
ensimmaisetnovellit/ensimmaisetnovellit_0061.wav|jossa sitä ei tarvitakaan, vaan leviää alas kaikki, niin että näkee vaikka nuppineulan lattialta.|jossa sitä ei tarvitakaan, vaan leviää alas kaikki, niin että näkee vaikka nuppineulan lattialta.|6.97
ensimmaisetnovellit/ensimmaisetnovellit_0062.wav|Kyllä meidän kaikkien olisi kovasti tehnyt mieli koettaa, näkisikö vaikka nuppineulan lattialta,|Kyllä meidän kaikkien olisi kovasti tehnyt mieli koettaa, näkisikö vaikka nuppineulan lattialta,|5.77
ensimmaisetnovellit/ensimmaisetnovellit_0063.wav|mutta isä ripusti lampun kattoon ja rupesi syömään. --Tänä iltana pitää vielä pärevalkeaan tyytyä,|mutta isä ripusti lampun kattoon ja rupesi syömään. --Tänä iltana pitää vielä pärevalkeaan tyytyä,|8.15
ensimmaisetnovellit/ensimmaisetnovellit_0064.wav|sanoi isä syödessään, mutta huomenna tässä talossa poltetaan lamppua. --|sanoi isä syödessään, mutta huomenna tässä talossa poltetaan lamppua. --|6.4
ensimmaisetnovellit/ensimmaisetnovellit_0065.wav|Katsos, isä, Pekka on tänäpäivänä kiskonut orrellisen päreitä. --Ka, eikö ole kiskonut--kyllä nyt on syttyjä täksi talveksi--|Katsos, isä, Pekka on tänäpäivänä kiskonut orrellisen päreitä. --Ka, eikö ole kiskonut--kyllä nyt on syttyjä täksi talveksi--|9.44
ensimmaisetnovellit/ensimmaisetnovellit_0066.wav|muuhun ei nyt enää päreitä tarvitakaan. --Tarvitaan niitä siltä vielä saunassa ja navetassa, sanoi äiti. --|muuhun ei nyt enää päreitä tarvitakaan. --Tarvitaan niitä siltä vielä saunassa ja navetassa, sanoi äiti. --|8.51
ensimmaisetnovellit/ensimmaisetnovellit_0067.wav|Mutta tuvassa poltetaan lamppua, sanoi isä. III.|Mutta tuvassa poltetaan lamppua, sanoi isä. III.|9.15
ensimmaisetnovellit/ensimmaisetnovellit_0068.wav|Tänä yönä en nukkunut senkään vertaa kuin edellisenä, ja kun aamusella heräsin, olisin melkein itkenyt, jos olisin iljennyt,|Tänä yönä en nukkunut senkään vertaa kuin edellisenä, ja kun aamusella heräsin, olisin melkein itkenyt, jos olisin iljennyt,|8.03
ensimmaisetnovellit/ensimmaisetnovellit_0069.wav|kun muistin, että lamppu vasta iltasella pannaan palamaan.|kun muistin, että lamppu vasta iltasella pannaan palamaan.|4.41
ensimmaisetnovellit/ensimmaisetnovellit_0070.wav|Olin nähnyt unta, että isä yöllä pani öljyä lamppuun, ja että se sitten koko päivän paloi.|Olin nähnyt unta, että isä yöllä pani öljyä lamppuun, ja että se sitten koko päivän paloi.|6.44
ensimmaisetnovellit/ensimmaisetnovellit_0071.wav|Heti päivän tultua kaivoi isä siitä matkakirstusta isomahaisen putelin ja kaatoi siitä jotakin pienempään puteliin.|Heti päivän tultua kaivoi isä siitä matkakirstusta isomahaisen putelin ja kaatoi siitä jotakin pienempään puteliin.|8.27
ensimmaisetnovellit/ensimmaisetnovellit_0072.wav|Olisimme mielellämme kysyneet, mitä siinä putelissa oli, mutta emme uskaltaneet, sillä isä oli niin totisen näköinen, että meitä vähän pelotti.|Olisimme mielellämme kysyneet, mitä siinä putelissa oli, mutta emme uskaltaneet, sillä isä oli niin totisen näköinen, että meitä vähän pelotti.|9.75
ensimmaisetnovellit/ensimmaisetnovellit_0073.wav|Mutta kun hän laski lampun alemmaksi katosta ja rupesi sitä ruuvaamaan ja vääntelemään,|Mutta kun hän laski lampun alemmaksi katosta ja rupesi sitä ruuvaamaan ja vääntelemään,|6.05
ensimmaisetnovellit/ensimmaisetnovellit_0074.wav|niin ei äiti enää malttanut olla ääneti, vaan kysyi: --Mitä se isä nyt tekee? --Panen öljyä lamppuun. --|niin ei äiti enää malttanut olla ääneti, vaan kysyi: --Mitä se isä nyt tekee? --Panen öljyä lamppuun. --|9.78
ensimmaisetnovellit/ensimmaisetnovellit_0075.wav|No, vaan särethän sinä sen--mitenkä sinä saat tuon sijoilleen, jonka irti väänsit?--Äiti ei tiennyt, emmekä me muutkaan tienneet,|No, vaan särethän sinä sen--mitenkä sinä saat tuon sijoilleen, jonka irti väänsit?--Äiti ei tiennyt, emmekä me muutkaan tienneet,|7.77
ensimmaisetnovellit/ensimmaisetnovellit_0076.wav|miksi sanottaisiin sitä, jonka isä oli lasiastiasta irti vääntänyt. Isä ei virkkanut mitään siihen,|miksi sanottaisiin sitä, jonka isä oli lasiastiasta irti vääntänyt. Isä ei virkkanut mitään siihen,|7.17
ensimmaisetnovellit/ensimmaisetnovellit_0077.wav|käskihän meidän vain pysyä loitommalla. Sitten hän kaasi siitä pienemmästä putelista siihen lasiastiaan,|käskihän meidän vain pysyä loitommalla. Sitten hän kaasi siitä pienemmästä putelista siihen lasiastiaan,|7.43
ensimmaisetnovellit/ensimmaisetnovellit_0078.wav|niin että se tuli melkein täyteen, ja nyt me arvasimme, että isommassakin putelissa mahtoi olla öljyä. --|niin että se tuli melkein täyteen, ja nyt me arvasimme, että isommassakin putelissa mahtoi olla öljyä. --|7.81
ensimmaisetnovellit/ensimmaisetnovellit_0079.wav|No, eikö siihen nyt tulta pannakaan? kysyi äiti taas, kun kaikki ne irti väännetyt kalut olivat paikoillaan ja|No, eikö siihen nyt tulta pannakaan? kysyi äiti taas, kun kaikki ne irti väännetyt kalut olivat paikoillaan ja|8.33
ensimmaisetnovellit/ensimmaisetnovellit_0080.wav|kun näki, että isä nosti lampun kattoon. --Nytkö päivällä? --Niin, no|kun näki, että isä nosti lampun kattoon. --Nytkö päivällä? --Niin, no|6.37
ensimmaisetnovellit/ensimmaisetnovellit_0081.wav|saisihan tuota nyt koetella, mitenkä se palaa. --Kyllä se palaa--odota vain iltaa eläkä hätäile!|saisihan tuota nyt koetella, mitenkä se palaa. --Kyllä se palaa--odota vain iltaa eläkä hätäile!|8.77
ensimmaisetnovellit/ensimmaisetnovellit_0082.wav|Ruokalevon jälkeen kantoi istukas-Pekka jäisen pärepölkyn sisään ja romahutti sen olaltaan lattialle, niin että koko tupa hytkähti ja|Ruokalevon jälkeen kantoi istukas-Pekka jäisen pärepölkyn sisään ja romahutti sen olaltaan lattialle, niin että koko tupa hytkähti ja|9.13
ensimmaisetnovellit/ensimmaisetnovellit_0083.wav|öljy lampussa liikahti. --So, so! sanoi isä. Mitä sinä nyt? --|öljy lampussa liikahti. --So, so! sanoi isä. Mitä sinä nyt? --|8.24
ensimmaisetnovellit/ensimmaisetnovellit_0084.wav|Toin pärepölkyn sulamaan--eihän sitä jäistä ruojaa kukaan kisko. --Eihän sitä ole pakko kiskoakaan,|Toin pärepölkyn sulamaan--eihän sitä jäistä ruojaa kukaan kisko. --Eihän sitä ole pakko kiskoakaan,|7.71
ensimmaisetnovellit/ensimmaisetnovellit_0085.wav|sanoi isä ja iski meille silmää. --No, ei kai se tuommoisenaankaan pala. --|sanoi isä ja iski meille silmää. --No, ei kai se tuommoisenaankaan pala. --|9.54
ensimmaisetnovellit/ensimmaisetnovellit_0086.wav|Eihän sen ole pakko palaakaan. --Eikös niitä sitten päreitä enää kiskotakaan? --Entäs jos ei kiskottaisikaan. --|Eihän sen ole pakko palaakaan. --Eikös niitä sitten päreitä enää kiskotakaan? --Entäs jos ei kiskottaisikaan. --|6.29
ensimmaisetnovellit/ensimmaisetnovellit_0087.wav|Sama minulle on, jos isäntä itse ilman toimeen tulee. --Eikös se Pekka näe, mikä tuolta orresta riippuu?--|Sama minulle on, jos isäntä itse ilman toimeen tulee. --Eikös se Pekka näe, mikä tuolta orresta riippuu?--|8.52
ensimmaisetnovellit/ensimmaisetnovellit_0088.wav|Kun isä tämän sanoi, katsahti hän ylpeästi lamppuun ja säälivästi Pekkaan.|Kun isä tämän sanoi, katsahti hän ylpeästi lamppuun ja säälivästi Pekkaan.|5.61
ensimmaisetnovellit/ensimmaisetnovellit_0089.wav|Pekka asetti pärepölkkynsä soppeen pystyyn ja katsahti vasta sitten lamppuun. --|Pekka asetti pärepölkkynsä soppeen pystyyn ja katsahti vasta sitten lamppuun. --|6.27
ensimmaisetnovellit/ensimmaisetnovellit_0090.wav|Se on lamppu, ja kun se palaa, niin ei pärevalkeaa enää tarvitakaan. --Vai ei tarvitakaan,|Se on lamppu, ja kun se palaa, niin ei pärevalkeaa enää tarvitakaan. --Vai ei tarvitakaan,|8.8
ensimmaisetnovellit/ensimmaisetnovellit_0091.wav|sanoi Pekka ja lähti muuta puhumatta havutukilleen tallin taakse.|sanoi Pekka ja lähti muuta puhumatta havutukilleen tallin taakse.|4.83
ensimmaisetnovellit/ensimmaisetnovellit_0092.wav|Pekka pienenteli itsensä korkuisen havukoon sinä päivänä niinkuin muinakin, mutta muulta väeltä ei tahtonut tulla mitään valmista.|Pekka pienenteli itsensä korkuisen havukoon sinä päivänä niinkuin muinakin, mutta muulta väeltä ei tahtonut tulla mitään valmista.|8.53
ensimmaisetnovellit/ensimmaisetnovellit_0093.wav|Äiti koetti kehrätä, mutta kuontalo ei kulunut puolilleenkaan, kun hän jo rukkinsa syrjään siirsi ja lähti ulos.|Äiti koetti kehrätä, mutta kuontalo ei kulunut puolilleenkaan, kun hän jo rukkinsa syrjään siirsi ja lähti ulos.|8.64
ensimmaisetnovellit/ensimmaisetnovellit_0094.wav|Isä vähän ensin kirvesvartta veisteli, mutta tottapa työ oli vastahakoista, koska se kesken jäi.|Isä vähän ensin kirvesvartta veisteli, mutta tottapa työ oli vastahakoista, koska se kesken jäi.|7.25
ensimmaisetnovellit/ensimmaisetnovellit_0095.wav|Äidin mentyä meni isäkin; lieneekö kylään mennyt, vai minne.|Äidin mentyä meni isäkin; lieneekö kylään mennyt, vai minne.|4.51
